"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Frontend","0","Skills","78","0","","0"
"0","Frontend","0","Frontend","414","0","","0"
"0","Frontend","0","Workflows","638","0","","0"
"0","Frontend","0","Knowledge Base","42","0","","0"
"0","Frontend","0","Assistant","183","0","","0"
"0","Frontend","0","Object Storage","51","0","","0"
"0","Frontend","0","LLM Gateway","22","0","","0"
"0","Frontend","0","App Shell & Navigation","45","0","","0"
"0","Frontend","0","Evaluations","52","0","","0"
"0","Frontend","0","Prompts","102","0","","0"
"0","Frontend","0","Tools","58","0","","0"
"0","Frontend","0","Dashboard","15","0","","0"
"0","Frontend","0","Settings","24","0","","0"
"0","Frontend","0","MCP Servers","18","0","","0"
"0","Frontend","0","Providers & Config","9","0","","0"
"0","Frontend","0","Observability","17","0","","0"
