"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","228","allows typing in allowed tools field","SkillWizard","Fri Sep 04 03:14:57 UTC 2026","passed","Fri Sep 04 03:14:57 UTC 2026","","Step 3: Composability","",""
"","1","adds error state when metadata marks the turn failed for %p","processStepsFromMetadata","Fri Sep 04 03:16:45 UTC 2026","passed","Fri Sep 04 03:16:45 UTC 2026","","","",""
"","5","downloads workflow exports with trusted-user and project headers","caliberApi","Fri Sep 04 03:14:41 UTC 2026","passed","Fri Sep 04 03:14:41 UTC 2026","","","",""
"","84","Runs: a second run renders a baseline diff + regression","SkillWorkspace","Fri Sep 04 03:15:28 UTC 2026","passed","Fri Sep 04 03:15:28 UTC 2026","","","",""
"","146","renders the version history panel on the Versions tab","SkillDetail","Fri Sep 04 03:14:47 UTC 2026","passed","Fri Sep 04 03:14:47 UTC 2026","","","",""
"","12","renders markdown images with a safe src","MarkdownView","Fri Sep 04 03:15:22 UTC 2026","passed","Fri Sep 04 03:15:22 UTC 2026","","","",""
"","329","lists guardrails + coverage and attaches an available guardrail","Gateway → Guardrails tab","Fri Sep 04 03:15:30 UTC 2026","passed","Fri Sep 04 03:15:30 UTC 2026","","","",""
"","1","formats deltas as signed percentage-points","workflowCalibration formatters","Fri Sep 04 03:15:16 UTC 2026","passed","Fri Sep 04 03:15:16 UTC 2026","","","",""
"","1","unescapes doubled quotes and drops fully-empty rows","parseDelimited","Fri Sep 04 03:15:22 UTC 2026","passed","Fri Sep 04 03:15:22 UTC 2026","","","",""
"","18","applies edited JSON back to the manifest and closes","NodeCodeModal","Fri Sep 04 03:17:19 UTC 2026","passed","Fri Sep 04 03:17:19 UTC 2026","","","",""
"","1","builds schema from visual properties when raw mode is disabled","ToolWizard helpers","Fri Sep 04 03:17:10 UTC 2026","passed","Fri Sep 04 03:17:10 UTC 2026","","","",""
"","6","surfaces incompatible output options without auto-selecting them","ConnectMapPopover","Fri Sep 04 03:13:43 UTC 2026","passed","Fri Sep 04 03:13:43 UTC 2026","","","",""
"","82","falls back to the recent run index in the monitor when paged run history is unavailable","WorkflowEditor handler branches","Fri Sep 04 03:13:36 UTC 2026","passed","Fri Sep 04 03:13:36 UTC 2026","","","",""
"","128","filters by name, case-insensitively","Workflows — search","Fri Sep 04 03:14:37 UTC 2026","passed","Fri Sep 04 03:14:37 UTC 2026","","","",""
"","51","auto-generates callable_name from name (snake_case)","ToolWizard","Fri Sep 04 03:15:10 UTC 2026","passed","Fri Sep 04 03:15:10 UTC 2026","","Step 1: Identity","",""
"","170","renders trigger and anti-trigger inputs","SkillWizard","Fri Sep 04 03:14:57 UTC 2026","passed","Fri Sep 04 03:14:57 UTC 2026","","Step 4: Trigger Testing","",""
"","53","shows deployed status for agents with a prompt","Prompts","Fri Sep 04 03:13:58 UTC 2026","passed","Fri Sep 04 03:13:58 UTC 2026","","","",""
"","51","lazily loads a folder's children on first expand and collapses again","BucketTree","Fri Sep 04 03:15:22 UTC 2026","passed","Fri Sep 04 03:15:22 UTC 2026","","","",""
"","11","disables the trigger when the disabled prop is set","AttachmentBar — add-context menu","Fri Sep 04 03:15:07 UTC 2026","passed","Fri Sep 04 03:15:07 UTC 2026","","","",""
"","40","closes when Escape is pressed","CaliberAssistantPanel","Fri Sep 04 03:14:51 UTC 2026","passed","Fri Sep 04 03:14:51 UTC 2026","","","",""
"","10","disables handoff creation when no other agent targets exist","Inspector","Fri Sep 04 03:13:41 UTC 2026","passed","Fri Sep 04 03:13:41 UTC 2026","","","",""
"","1","normalizes persisted artifact upload summaries from run metadata","workflowRunArtifactPersistence","Fri Sep 04 03:16:28 UTC 2026","passed","Fri Sep 04 03:16:28 UTC 2026","","","",""
"","323","opens a tool into the Workspace with a header + six stage tabs, and back returns","ToolWorkspace","Fri Sep 04 03:16:06 UTC 2026","passed","Fri Sep 04 03:16:06 UTC 2026","","","",""
"","31","changes to agent_review from the dropdown","ApprovalModeSelector","Fri Sep 04 03:15:54 UTC 2026","passed","Fri Sep 04 03:15:54 UTC 2026","","","",""
"","113","calls onChange when a type is clicked","ArtifactTypeSelector","Fri Sep 04 03:16:25 UTC 2026","passed","Fri Sep 04 03:16:25 UTC 2026","","","",""
"","14","shows history without privileged actions to a viewer","ToolCalibrationJobs","Fri Sep 04 03:17:07 UTC 2026","passed","Fri Sep 04 03:17:07 UTC 2026","","","",""
"","1","renders status review_failed with the right tone","DraftStatusBadge","Fri Sep 04 03:15:54 UTC 2026","passed","Fri Sep 04 03:15:54 UTC 2026","","","",""
"","2","builds router, mcp resource, approval, output and start nodes","WorkflowEditor newNode","Fri Sep 04 03:16:51 UTC 2026","passed","Fri Sep 04 03:16:51 UTC 2026","","","",""
"","45","surfaces a retire error in the action banner","EvalDatasetDetail — sync, retire-error, and version filter","Fri Sep 04 03:15:03 UTC 2026","passed","Fri Sep 04 03:15:03 UTC 2026","","","",""
"","299","shows the mode selector and sends the selected mode","CaliberAssistantPanel — modes & settings","Fri Sep 04 03:15:50 UTC 2026","passed","Fri Sep 04 03:15:50 UTC 2026","","","",""
"","131","offers the HITL governance template and posts its manifest","Workflows page","Fri Sep 04 03:12:55 UTC 2026","passed","Fri Sep 04 03:12:56 UTC 2026","","","",""
"","13","shows an error and does not apply invalid JSON","CodeView — manifest tab","Fri Sep 04 03:17:06 UTC 2026","passed","Fri Sep 04 03:17:06 UTC 2026","","","",""
"","261","guides wait_for_event runs toward event matching when manual resume is disabled in run detail","WorkflowDetail calibration","Fri Sep 04 03:13:08 UTC 2026","passed","Fri Sep 04 03:13:08 UTC 2026","","","",""
"","15","renders nothing when closed","ConfirmDialog","Fri Sep 04 03:17:33 UTC 2026","passed","Fri Sep 04 03:17:33 UTC 2026","","","",""
